Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C26, C29, C30, C7, C9",CP_Elec_6.3x5.4,6,47uF,
"C13, C18",0805,2,1uF,C28323
"C14, C17, C19, C20",0603,4,0.1uF,C187860
"C2, C21, C22, C23, C3, C4",CP_Elec_10x10.5,6,470uF,
"C24, C25, C27, C28, C5, C6, C8",0603,7,0.1uF,
"D1, D15, D16, D17, D18, D4, D5, D6, D8",0603,9,LED,
"D10, D12, D13, D9",SOD-323,4,BAT42,
"D11, D14, D2, D3, D7",D_SMA,5,SS26,C5350986
"F1, F2",Fuse_Holder_C492610,2,C492610,C492610
"L1, L2",TMPA1265SP-101MN-D,2,SMDRI127-680MT,
"R1, R9",0603,2,470,C23179
R10,0603,1,2.2K,C4190
"R11, R12, R13, R6, R7, R8",0603,6,2.2K,
"R3, R4",0603,2,470,
"RV3, RV4",Potentiometer,2,10K,C34846
"U1, U10, U4, U8, U9",DRV8251ADDR,5,DRV8870DDA,C86590
"U2, U5",TO-220-3_Vertical,2,LM7805_TO220,C5444281
U3,TO-220-3_Vertical,1,LM7809_TO220,C507141
U6,SOIC127P600X175-8N,1,MCP6002-xP,
U7,SOIC127P600X175-8N,1,MCP6002-xP,C7377
