Designator,Mid X,Mid Y,Rotation,Layer
C1,155.8082,-104.9976,90.0,top
C13,57.7102,-59.4418,90.0,top
C14,61.8744,-67.5386,270.0,top
C17,55.4102,-70.231,180.0,top
C18,75.3414,-59.3852,180.0,top
C19,71.1374,-67.2242,180.0,top
C2,164.5,-50.0,0.0,top
C20,71.1984,-59.3852,0.0,top
C21,124.26,-44.7,270.0,top
C22,110.544,-44.7,270.0,top
C23,96.828,-44.7,270.0,top
C24,100.892,-52.32,270.0,top
C25,129.204,-93.0454,90.0,top
C26,129.0574,-104.9976,90.0,top
C27,116.3516,-93.32565,90.0,top
C28,102.717,-93.30185,90.0,top
C29,116.205,-104.9976,90.0,top
C3,192.8622,-56.6674,180.0,top
C30,102.4204,-104.9976,90.0,top
C4,164.5,-65.0,0.0,top
C5,155.8908,-93.3866,90.0,top
C6,121.158,-60.7184,270.0,top
C7,115.5954,-56.642,270.0,top
C8,142.1892,-93.0656,90.0,top
C9,142.0812,-104.9976,90.0,top
D1,183.3371,-73.66,0.0,top
D10,59.6477,-71.331,180.0,top
D11,182.0,-89.5,270.0,top
D12,75.2119,-69.6214,0.0,top
D13,78.9203,-69.6214,0.0,top
D14,195.9864,-107.0102,0.0,top
D15,127.8636,-116.713,0.0,top
D16,114.7572,-116.7384,0.0,top
D17,176.3523,-107.6198,180.0,top
D18,167.3484,-107.6706,180.0,top
D2,164.5,-41.0,0.0,top
D3,134.25,-44.65,0.0,top
D4,154.3558,-116.8146,0.0,top
D5,53.467,-90.0177,90.0,top
D6,140.4112,-116.7892,0.0,top
D7,188.5696,-47.3964,0.0,top
D8,185.9159,-108.3,0.0,top
D9,63.3779,-71.3232,180.0,top
F1,190.15,-100.5,0.0,top
F2,85.144,-45.834,270.0,top
L1,193.0,-72.45,90.0,top
L2,147.0,-45.5,180.0,top
R1,60.4102,-59.6418,270.0,top
R10,185.9,-106.35,0.0,top
R11,114.7318,-115.062,0.0,top
R12,176.403,-109.3216,180.0,top
R13,167.3352,-109.347,180.0,top
R3,184.126404,-70.739461,90.0,top
R4,53.4924,-86.2585,90.0,top
R6,154.3304,-115.1128,0.0,top
R7,140.3858,-115.0874,0.0,top
R8,127.8382,-114.9604,0.0,top
R9,78.4174,-64.6052,270.0,top
RV3,57.6872,-52.628,270.0,top
RV4,72.3751,-52.578,90.0,top
U1,160.4264,-91.0336,270.0,top
U10,107.0102,-91.0336,270.0,top
U2,176.555,-62.5,270.0,top
U3,176.555,-45.0,270.0,top
U4,146.5072,-91.0336,270.0,top
U5,97.844,-55.876,180.0,top
U6,57.9852,-65.5668,270.0,top
U7,73.3374,-63.4492,180.0,top
U8,133.704,-91.0336,270.0,top
U9,120.7664,-91.0336,270.0,top
